,surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,capillary_refill_time,pain,abdominal_distention,nasogastric_tube,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_protein,surgical_lesion,cp_data,rectal_temp_missing,pulse_missing,respiratory_rate_missing,nasogastric_reflux_ph_missing,packed_cell_volume_missing,total_protein_missing,abdomo_protein_missing,pain_missing,abdomo_appearance_missing,mucous_membrane_bright_pink,mucous_membrane_bright_red,mucous_membrane_dark_cyanotic,mucous_membrane_normal_pink,mucous_membrane_pale_cyanotic,mucous_membrane_pale_pink,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,nasogastric_reflux_less_1_liter,nasogastric_reflux_more_1_liter,nasogastric_reflux_none,abdomo_appearance_clear,abdomo_appearance_cloudy,abdomo_appearance_serosanguious,abdomo_appearance_unknown,lesion_2_0,lesion_2_1400,lesion_2_3111,lesion_2_3112,lesion_2_6112,lesion_2_7111,lesion_3_0,lesion_3_2209,lesion_site,lesion_type,lesion_subtype,lesion_specific_code
46,1,1,37.9,60.0,15.0,1.0,,1.0,4,3.0,1.0,0.0,0.0,4.0,65.0,7.5,0.0,1,yes,0,0,0,1,0,0,1,0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2,3,0,5
47,0,1,37.5,48.0,16.0,2.0,2.0,0.0,0,0.0,0.0,0.0,1.0,,37.0,6.5,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
48,1,1,38.9,80.0,44.0,1.0,1.0,1.0,2,2.0,1.0,7.0,2.0,0.0,54.0,6.5,0.0,1,no,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,7,1,1,1
49,0,1,37.2,84.0,48.0,1.0,1.0,1.0,3,1.0,0.0,0.0,3.0,0.0,73.0,5.5,4.1,0,yes,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,4,3,0,0
50,0,1,38.6,46.0,0.0,2.0,2.0,0.0,0,1.0,0.0,0.0,,2.0,49.0,9.1,1.6,0,yes,0,0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,3,1,1,1
51,1,1,37.4,84.0,36.0,2.0,,1.0,1,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,1,yes,0,0,0,1,1,1,1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,7,2,0,9
52,0,1,0.0,0.0,0.0,2.0,2.0,0.0,0,0.0,,0.0,3.0,2.0,43.0,7.7,0.0,0,no,1,1,1,1,0,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
53,0,1,38.6,40.0,20.0,,,0.0,-1,,,0.0,,,41.0,6.4,0.0,0,yes,0,0,0,1,0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
54,0,1,40.3,114.0,36.0,1.0,1.0,1.0,2,2.0,1.0,7.0,1.0,4.0,57.0,8.1,4.5,1,yes,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,7,4,0,0
55,1,0,38.6,160.0,20.0,1.0,,0.0,1,3.0,2.0,0.0,0.0,,38.0,0.0,0.0,1,yes,0,0,0,1,0,1,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,7,1,1,1
56,1,1,0.0,0.0,0.0,,,,-1,,,0.0,,,24.0,6.7,0.0,1,no,1,1,1,1,0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,2
57,1,1,0.0,64.0,36.0,3.0,,0.0,4,2.0,1.0,0.0,,,42.0,7.7,0.0,1,no,1,0,0,1,0,0,1,0,1,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,2,0,9
58,1,1,0.0,0.0,20.0,0.0,1.0,,4,2.0,1.0,0.0,0.0,1.0,53.0,5.9,0.0,1,yes,1,1,0,1,0,0,1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,3,2,0,5
59,0,1,0.0,96.0,0.0,1.0,1.0,1.0,4,3.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,1,no,1,0,1,1,0,1,1,0,1,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,4,2,0,5
60,0,1,37.8,48.0,32.0,2.0,2.0,0.0,2,,0.0,0.0,0.0,4.0,37.0,6.7,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,2,1,2,4
61,0,1,38.5,60.0,0.0,3.0,3.0,0.0,0,1.0,1.0,0.0,1.0,0.0,44.0,7.7,0.0,0,no,0,0,1,1,0,0,1,0,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
62,1,1,37.8,88.0,22.0,3.0,2.0,0.0,1,,1.0,0.0,0.0,,64.0,8.0,6.0,1,yes,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,3,2,0,5
63,0,1,38.2,130.0,16.0,0.0,1.0,1.0,2,3.0,0.0,0.0,,,65.0,82.0,2.0,0,no,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,2,2,0,9
64,1,1,39.0,64.0,36.0,1.0,2.0,1.0,1,1.0,0.0,7.0,0.0,4.0,44.0,7.5,5.0,1,yes,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,2,1,1,3
65,1,1,0.0,60.0,36.0,1.0,2.0,0.0,1,1.0,0.0,0.0,2.0,1.0,26.0,72.0,1.0,1,no,1,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,2,2,0,8
66,0,1,37.9,72.0,0.0,2.0,2.0,1.0,1,0.0,0.0,2.0,2.0,1.0,58.0,74.0,2.0,1,no,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,2,3,2,2
67,0,1,38.4,54.0,24.0,2.0,2.0,0.0,0,0.0,1.0,0.0,2.0,2.0,49.0,7.2,0.0,0,yes,0,0,0,1,0,0,1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,3,1,1,1
68,0,1,0.0,52.0,16.0,2.0,,0.0,-1,,1.0,5.5,,,55.0,7.2,0.0,0,no,1,0,0,0,0,0,1,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,2,1,2,4
69,0,1,38.0,48.0,12.0,2.0,2.0,0.0,0,,0.0,0.0,2.0,2.0,42.0,6.3,4.1,0,yes,0,0,0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,3,1,1,1
70,0,1,37.0,60.0,20.0,1.0,,0.0,1,2.0,1.0,4.5,0.0,1.0,43.0,7.6,0.0,1,yes,0,0,0,0,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2,2,0,9
71,1,1,37.8,48.0,28.0,2.0,2.0,0.0,0,0.0,1.0,0.0,1.0,0.0,46.0,5.9,7.0,0,yes,0,0,0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0,0,0,0
72,1,1,37.7,56.0,0.0,,,,-1,,,0.0,,,0.0,0.0,0.0,1,no,0,0,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2,1,1,3
73,1,1,38.1,52.0,24.0,2.0,2.0,0.0,3,0.0,1.0,7.0,1.0,,54.0,7.5,2.6,1,yes,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,2,1,1,2
74,1,0,0.0,0.0,0.0,,,,-1,,,0.0,,,37.0,4.9,0.0,1,no,1,1,1,1,0,0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,11,1,2,4
75,1,0,39.7,100.0,0.0,1.0,1.0,1.0,2,,,0.0,,,48.0,57.0,2.0,1,no,0,0,1,1,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,1,4,0,0
76,1,1,37.6,38.0,20.0,1.0,1.0,0.0,1,1.0,,0.0,2.0,,37.0,68.0,0.0,1,no,0,0,0,1,0,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,2,0,5
77,0,1,38.7,52.0,20.0,3.0,,0.0,0,0.0,0.0,0.0,1.0,0.0,33.0,77.0,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
78,1,1,0.0,0.0,0.0,1.0,1.0,0.0,4,2.0,2.0,0.0,0.0,4.0,46.0,5.9,0.0,1,no,1,1,1,1,0,0,1,0,1,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,0,2,5
79,1,1,37.5,96.0,18.0,2.0,1.0,1.0,1,1.0,1.0,5.0,,1.0,69.0,8.9,0.0,1,yes,0,0,0,0,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,2,2,0,8
80,1,1,36.4,98.0,35.0,1.0,1.0,0.0,3,1.0,,0.0,0.0,1.0,47.0,6.4,3.6,1,yes,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,2,2,0,5
81,1,1,37.3,40.0,0.0,,1.0,0.0,2,1.0,2.0,0.0,2.0,4.0,36.0,0.0,2.0,1,no,0,0,1,1,0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,3,1,1,1
82,1,0,38.1,100.0,80.0,1.0,2.0,0.0,1,0.0,,0.0,1.0,,36.0,5.7,0.0,1,no,0,0,0,1,0,0,1,0,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
83,1,1,38.0,0.0,24.0,1.0,1.0,1.0,4,3.0,0.0,0.0,,,68.0,7.8,0.0,1,no,0,1,0,1,0,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,3,2,0,5
84,1,1,37.8,60.0,80.0,2.0,1.0,1.0,2,2.0,,5.5,0.0,,40.0,4.5,0.0,1,yes,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,5,2,0,6
85,0,1,38.0,54.0,30.0,3.0,1.0,0.0,1,1.0,1.0,0.0,,1.0,45.0,6.2,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,4,0,0
86,1,1,0.0,88.0,40.0,1.0,1.0,1.0,4,2.0,2.0,0.0,0.0,4.0,50.0,7.7,1.4,1,yes,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,4,2,0,5
87,0,1,0.0,40.0,16.0,,,0.0,-1,,,0.0,,,50.0,7.0,3.9,1,yes,1,0,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2,2,0,8
88,0,1,39.0,64.0,40.0,2.0,2.0,0.0,1,1.0,1.0,0.0,2.0,3.0,42.0,7.5,2.3,0,yes,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,5,0,0,0
89,0,1,38.3,42.0,10.0,2.0,2.0,0.0,0,0.0,,0.0,,,38.0,61.0,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
90,0,1,38.0,52.0,16.0,,,,2,,,1.0,1.0,0.0,53.0,86.0,0.0,1,no,0,0,0,0,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,2,3,2,2
91,0,1,40.3,114.0,36.0,1.0,1.0,1.0,2,2.0,1.0,7.0,1.0,4.0,57.0,8.1,4.5,1,yes,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,3,2,0,5
