Age,Education,Income,Experience
53.0,11.0,,3.0
,14.0,,28.0
55.0,17.0,5186.45127407652,33.0
33.0,,5417.1817667205105,16.0
50.0,11.0,5411.181647307313,15.0
67.0,,6502.553366620365,1.0
34.0,12.0,4245.199461903356,33.0
27.0,10.0,4711.49313155961,7.0
,17.0,,12.0
,15.0,5424.614395152549,7.0
59.0,,6328.696734488694,29.0
40.0,18.0,,31.0
35.0,14.0,4188.235439543003,
,12.0,6965.949958272273,29.0
37.0,14.0,4753.850482985459,0.0
66.0,,6412.424408022819,38.0
43.0,14.0,5392.732262323371,16.0
45.0,,4623.149935050889,19.0
,19.0,5431.333068409944,
64.0,,6249.563268077319,
60.0,18.0,5678.2346511478045,28.0
48.0,,4821.732007581135,21.0
34.0,18.0,,8.0
64.0,,,
20.0,17.0,4089.2952586964016,9.0
44.0,17.0,,35.0
26.0,16.0,3771.3335914126346,36.0
28.0,17.0,4183.938145337973,27.0
43.0,12.0,5932.309870580375,27.0
20.0,,3876.6246689505624,
63.0,,5915.7155386009,23.0
27.0,16.0,3513.2576001619427,39.0
43.0,10.0,,1.0
30.0,,,7.0
36.0,10.0,4298.4100845386,26.0
27.0,10.0,4409.975340079372,21.0
54.0,,,36.0
54.0,11.0,6549.747226335673,26.0
,14.0,6139.0016863537385,28.0
24.0,17.0,3895.5580310948308,2.0
61.0,17.0,,12.0
,12.0,6591.320967832096,
,16.0,,35.0
47.0,,4252.875878227234,8.0
26.0,,4346.428811985851,26.0
28.0,15.0,4274.060846051636,33.0
27.0,12.0,4674.560070029968,0.0
31.0,16.0,,31.0
53.0,,5407.971490336101,24.0
52.0,,4569.650742668043,28.0
,19.0,,6.0
42.0,,5794.982034302101,2.0
43.0,10.0,4998.1201092401125,19.0
,,5447.4812599301695,19.0
54.0,,5481.37029731115,29.0
,13.0,6575.102683565618,
59.0,15.0,5722.76952935751,34.0
41.0,18.0,5214.380150171422,38.0
46.0,,5313.90145786997,26.0
54.0,14.0,,25.0
20.0,16.0,,
54.0,10.0,5460.710050067903,16.0
56.0,13.0,5584.706719908861,
66.0,,6698.801424999877,
33.0,11.0,4156.537337915674,19.0
22.0,19.0,3659.8899045888365,26.0
20.0,14.0,3369.8428543282034,17.0
24.0,19.0,4624.505456638277,
,10.0,,0.0
,15.0,3993.192426960467,0.0
58.0,,,25.0
46.0,13.0,5022.228919212283,19.0
28.0,17.0,3964.1609605815574,22.0
,13.0,4602.160720561524,9.0
34.0,17.0,5439.361804733946,10.0
45.0,17.0,5052.518901751715,4.0
61.0,,,0.0
32.0,,4963.540010225477,16.0
51.0,11.0,,21.0
58.0,,6535.535824837131,33.0
68.0,12.0,6046.441997683861,28.0
51.0,13.0,5028.332578474832,3.0
23.0,13.0,3618.5166719875024,4.0
49.0,19.0,,10.0
56.0,14.0,5326.476671079736,20.0
42.0,,5173.770455932664,34.0
,19.0,5938.494209862447,11.0
64.0,,6709.28665159302,25.0
34.0,15.0,4845.57215411802,18.0
62.0,15.0,,6.0
48.0,17.0,5605.424602216342,6.0
55.0,16.0,5234.9029900510295,25.0
32.0,19.0,4580.929655987841,39.0
51.0,19.0,5709.700616797791,4.0
26.0,,4364.658799075063,20.0
,11.0,5257.532547467992,
47.0,18.0,5027.976992143605,3.0
21.0,10.0,,
61.0,,6961.084474697854,19.0
64.0,,,
25.0,,,28.0
47.0,14.0,,7.0
,17.0,5221.724509723563,18.0
,,7098.206202886391,38.0
63.0,17.0,,27.0
39.0,19.0,,26.0
49.0,10.0,4425.4380567732005,3.0
30.0,19.0,,14.0
47.0,18.0,4992.24159037084,34.0
44.0,,,36.0
58.0,,5775.820986793938,0.0
52.0,,4887.708180134454,2.0
20.0,18.0,4221.392762660927,23.0
46.0,15.0,5395.357483358397,26.0
32.0,16.0,4733.096124093635,39.0
,,,35.0
22.0,14.0,4857.391023097077,
58.0,,5718.144475456226,28.0
,,,23.0
27.0,13.0,,
46.0,15.0,5488.80725316447,3.0
28.0,16.0,4596.298832232992,2.0
,18.0,6595.251672282419,33.0
52.0,,5370.161565755353,22.0
61.0,,5287.132048398159,22.0
63.0,,5801.063115692056,4.0
43.0,12.0,5528.633466767703,30.0
34.0,17.0,,5.0
,,5316.200329752502,36.0
,18.0,,
43.0,,5260.643060865266,39.0
60.0,,,6.0
68.0,,,38.0
68.0,,6273.334834422527,37.0
,18.0,,20.0
58.0,14.0,5970.4214832787075,19.0
21.0,19.0,4144.848465608831,2.0
22.0,,3507.84752449044,21.0
,,,3.0
56.0,13.0,5579.701765766903,27.0
68.0,,6920.309303004879,11.0
36.0,19.0,4866.459320875137,37.0
68.0,,,35.0
21.0,11.0,3899.109306475124,4.0
21.0,16.0,3917.143081194271,12.0
47.0,,6097.125623128166,22.0
42.0,11.0,5318.1675942077545,29.0
56.0,,5442.74273379713,36.0
,,,24.0
,15.0,5333.347633286065,26.0
20.0,17.0,,13.0
38.0,18.0,,35.0
21.0,16.0,3334.358806180973,38.0
63.0,13.0,6062.109039116732,15.0
45.0,15.0,5454.135820451015,21.0
51.0,14.0,,
25.0,17.0,3629.3830463195636,20.0
51.0,10.0,4782.104865712491,7.0
,10.0,4695.374675995213,15.0
,15.0,4139.792571598081,30.0
36.0,,,9.0
,11.0,,31.0
43.0,,5184.851157365912,
24.0,10.0,4238.119113840787,8.0
53.0,,5560.100277424234,16.0
25.0,10.0,,10.0
41.0,13.0,5387.8484746971935,31.0
30.0,18.0,4704.725260962812,9.0
67.0,,6434.345662669716,21.0
35.0,13.0,,16.0
52.0,15.0,,3.0
28.0,15.0,4856.241694773707,24.0
25.0,17.0,4179.353468396953,20.0
,,4717.969480733055,36.0
48.0,16.0,,37.0
22.0,10.0,4203.980465340193,0.0
39.0,16.0,5771.1380287702195,24.0
55.0,,4869.316611263348,35.0
38.0,17.0,,16.0
45.0,,4897.197109763915,23.0
22.0,10.0,3628.956732622535,1.0
38.0,17.0,4671.467896977826,39.0
39.0,12.0,4977.339704240881,14.0
51.0,11.0,,31.0
26.0,10.0,3541.3468921607537,38.0
60.0,12.0,,5.0
52.0,11.0,5740.61077573823,0.0
,11.0,5511.5347746081725,22.0
58.0,15.0,,38.0
37.0,,3721.933846253528,16.0
59.0,11.0,,33.0
20.0,15.0,3425.185400524593,28.0
30.0,12.0,4008.0335584449713,8.0
47.0,,,12.0
44.0,,4900.085561728551,5.0
69.0,,5866.881053070347,5.0
42.0,,4042.0792173833865,19.0
50.0,,5651.1556525738215,2.0
49.0,,5826.413606904236,16.0
61.0,19.0,5851.6275105028135,11.0
54.0,19.0,,0.0
26.0,12.0,,16.0
35.0,,5539.391788306126,
45.0,,,25.0
67.0,16.0,6142.755137063716,14.0
68.0,,,35.0
21.0,11.0,4231.1592293677795,31.0
20.0,,,31.0
67.0,17.0,6451.496056468039,3.0
31.0,10.0,,17.0
,18.0,4695.354126851758,18.0
56.0,,6069.066482284233,34.0
,,5965.253978830044,39.0
28.0,17.0,3867.232655051528,
60.0,16.0,,32.0
54.0,17.0,5338.8186302555005,13.0
,15.0,,33.0
67.0,,,3.0
35.0,14.0,,
22.0,12.0,3564.0715988837605,28.0
,,4863.3603541130515,18.0
43.0,10.0,5894.117658434738,5.0
52.0,,4865.831719232952,32.0
43.0,11.0,5892.609620506363,39.0
30.0,12.0,,18.0
68.0,17.0,5231.122583282424,0.0
27.0,17.0,3666.634133258547,4.0
,,5268.261231132403,26.0
57.0,13.0,5538.035349608629,15.0
59.0,14.0,5897.643370687331,5.0
39.0,15.0,3598.259935119214,39.0
,14.0,5793.402196238827,12.0
67.0,16.0,5822.454745837558,
44.0,,,18.0
54.0,16.0,5564.911639628012,11.0
44.0,,5671.423085866365,15.0
48.0,,5955.174489957147,9.0
37.0,10.0,5391.636621733109,24.0
65.0,16.0,,19.0
37.0,,4560.399921139338,30.0
21.0,12.0,3937.5133503558422,3.0
54.0,,,22.0
35.0,13.0,4494.652365122919,1.0
60.0,11.0,5940.368763204876,21.0
55.0,11.0,5886.796908169725,36.0
52.0,,5147.5540369760665,7.0
23.0,14.0,3665.9458558354413,6.0
52.0,13.0,5520.8680592980045,13.0
33.0,19.0,4637.089407475821,2.0
40.0,11.0,5216.942740000822,15.0
67.0,12.0,,18.0
39.0,,4400.468589714175,17.0
27.0,16.0,3943.9575340282177,15.0
26.0,13.0,3814.623856218449,7.0
22.0,,4806.223700795711,
36.0,14.0,4739.864704898732,
52.0,,,10.0
67.0,,6378.887182006756,4.0
31.0,11.0,4192.16499314118,26.0
41.0,14.0,5832.134759473015,11.0
41.0,12.0,5255.513327409364,16.0
65.0,,,5.0
49.0,19.0,4897.371789424717,32.0
,,5269.033754171877,4.0
57.0,17.0,,27.0
64.0,,5850.004103214085,13.0
,19.0,3816.277827226724,4.0
46.0,17.0,5114.520990214222,32.0
46.0,,5191.785985862055,
53.0,10.0,,21.0
40.0,11.0,4748.040264312868,4.0
,12.0,,
52.0,,5113.539557004377,29.0
47.0,18.0,5956.486364613094,38.0
66.0,,5674.121156819128,3.0
52.0,,5781.591149145635,32.0
24.0,18.0,,12.0
,,,19.0
38.0,18.0,,6.0
23.0,,4400.85949651385,
54.0,,,22.0
68.0,,6074.467999042564,13.0
36.0,19.0,4483.027295053291,22.0
63.0,,6413.768579340008,18.0
,11.0,5219.267181340399,28.0
49.0,,,19.0
48.0,14.0,,28.0
65.0,,5727.7128900716425,23.0
25.0,11.0,3381.591795727987,17.0
54.0,14.0,5660.880703828368,9.0
60.0,,5955.438435233384,
56.0,13.0,5956.882961654193,25.0
,18.0,,28.0
48.0,,5939.556651996963,9.0
68.0,11.0,,16.0
65.0,10.0,5603.090299097789,1.0
50.0,14.0,4882.939432495465,5.0
54.0,,5331.599147339311,4.0
52.0,15.0,5416.634225980491,27.0
40.0,19.0,5152.531069482584,4.0
51.0,16.0,5149.51620155201,17.0
42.0,14.0,5240.195985556657,25.0
52.0,,,19.0
22.0,15.0,4171.671941297945,26.0
37.0,,4285.688501493652,11.0
,,,6.0
61.0,15.0,,2.0
50.0,17.0,,9.0
22.0,,,33.0
59.0,18.0,,24.0
65.0,,5898.6261116503065,34.0
43.0,16.0,,15.0
69.0,19.0,,1.0
,,4707.649653007087,23.0
66.0,,,9.0
41.0,,5819.87038133794,37.0
42.0,19.0,5652.952492958636,21.0
21.0,,5163.009442883345,25.0
,15.0,5305.462242786778,38.0
61.0,,6021.73505831016,
21.0,12.0,,28.0
,,4920.854879370389,37.0
36.0,13.0,4603.785222771092,19.0
59.0,,6058.731666162014,26.0
52.0,19.0,5178.049606543949,19.0
28.0,,3565.355326563008,18.0
,,6179.938317007089,19.0
67.0,,,34.0
58.0,,4280.281137529965,
48.0,16.0,5676.283695328505,
61.0,,5495.970480941486,33.0
45.0,,,21.0
54.0,15.0,6018.924053257991,2.0
69.0,,6591.795005761416,5.0
44.0,16.0,6448.408920178248,14.0
43.0,,,26.0
32.0,,4457.180216250706,9.0
26.0,,4641.836210708459,
55.0,,,32.0
64.0,17.0,,31.0
39.0,10.0,4315.597046212239,5.0
20.0,19.0,3373.91277626783,35.0
27.0,13.0,4732.904745663109,1.0
65.0,,5667.594530330698,28.0
35.0,12.0,5054.549303221357,3.0
33.0,,4835.001423105183,0.0
,13.0,4202.7558569861685,18.0
,10.0,5283.585080116717,25.0
34.0,11.0,4082.7037771078803,24.0
47.0,18.0,4850.05003686815,9.0
53.0,19.0,,14.0
21.0,11.0,4089.4639095361104,21.0
,,5398.180731506071,20.0
42.0,18.0,5316.557981936556,
41.0,18.0,5244.233207524146,35.0
44.0,,,33.0
41.0,10.0,,29.0
41.0,10.0,5647.281715592064,24.0
68.0,18.0,,27.0
61.0,17.0,7196.988641646574,
25.0,19.0,,3.0
34.0,18.0,,6.0
62.0,,,8.0
56.0,12.0,,35.0
52.0,12.0,,18.0
,11.0,4708.39939899475,0.0
,14.0,5096.618954300252,
63.0,12.0,6338.160888515591,35.0
24.0,15.0,4355.607948975745,8.0
,11.0,5966.553451231982,31.0
23.0,12.0,,31.0
25.0,14.0,3453.9282361028363,
,,6637.088458619161,37.0
51.0,,5736.884214046748,16.0
49.0,19.0,6000.978348698713,9.0
66.0,,5530.622237862373,26.0
54.0,,5953.567244772634,34.0
59.0,10.0,5832.670331226718,20.0
,,4821.8940049627645,24.0
32.0,12.0,4488.420182909555,27.0
69.0,17.0,6721.803963740065,14.0
61.0,14.0,5968.56343950421,3.0
,10.0,,
,16.0,4943.212709393096,8.0
,14.0,4692.9127314322495,26.0
38.0,15.0,4858.303189435558,25.0
47.0,15.0,3756.0942619799284,18.0
45.0,17.0,,27.0
56.0,,5642.668191326609,16.0
45.0,,4575.923212990867,
42.0,18.0,5561.281758424071,39.0
,,4718.1828638764655,38.0
31.0,18.0,4386.339901862571,22.0
20.0,19.0,3423.9153102399905,31.0
20.0,19.0,,32.0
66.0,,,4.0
53.0,,6112.167141495891,33.0
51.0,,5328.132242569754,39.0
67.0,19.0,,10.0
44.0,14.0,,2.0
59.0,15.0,5277.084107728789,32.0
64.0,,5633.858622261359,10.0
,16.0,3968.7942304321923,15.0
35.0,14.0,,17.0
,,6063.930570375388,29.0
24.0,18.0,4154.8129844407795,9.0
41.0,12.0,5538.659258032165,
48.0,,,37.0
22.0,,3101.861867564292,
31.0,16.0,4489.451655767103,35.0
45.0,11.0,4246.61065611676,12.0
35.0,13.0,4885.695490498849,2.0
56.0,,,9.0
41.0,12.0,4556.88775685874,37.0
48.0,11.0,6109.278343195925,0.0
33.0,19.0,5071.415622364216,26.0
47.0,,5953.240077707527,7.0
24.0,10.0,4294.781928217316,16.0
66.0,17.0,,8.0
,,,5.0
,11.0,5137.69954661583,24.0
,,,38.0
24.0,14.0,,27.0
31.0,17.0,,32.0
35.0,,5115.163502961665,36.0
45.0,,5209.7171008438145,8.0
45.0,16.0,4274.196403229924,17.0
67.0,16.0,,20.0
40.0,17.0,5352.111144742208,1.0
58.0,10.0,,37.0
55.0,,4998.38903279357,39.0
52.0,15.0,4696.706013765555,35.0
49.0,18.0,,
56.0,11.0,5271.471416142112,
42.0,10.0,,27.0
29.0,19.0,,
,11.0,4801.119390207837,33.0
55.0,16.0,5374.64898648185,21.0
53.0,,5627.619846193913,
50.0,19.0,5462.876667007819,12.0
29.0,11.0,4367.897947651742,3.0
38.0,,,21.0
51.0,,,6.0
20.0,12.0,3663.0378266352022,23.0
24.0,16.0,,3.0
,,7045.00496680188,27.0
,10.0,,14.0
,14.0,4198.1810643753015,0.0
,18.0,5217.816004387977,2.0
35.0,,,13.0
,18.0,4424.52197226302,37.0
68.0,19.0,6631.006654964643,0.0
,18.0,5264.8865542041285,
51.0,16.0,,37.0
,,5410.42943622973,20.0
39.0,14.0,,28.0
,10.0,5585.537864422798,4.0
31.0,10.0,4598.02932097571,9.0
69.0,,,27.0
,17.0,5801.574600795604,
52.0,11.0,5848.387786883455,6.0
,,5110.771873300397,2.0
62.0,11.0,5374.446806414996,19.0
,14.0,,18.0
31.0,18.0,4674.792280894585,34.0
22.0,10.0,,3.0
20.0,14.0,3120.120389911187,4.0
52.0,18.0,,0.0
59.0,,5689.257177322116,3.0
29.0,,4046.890916595478,11.0
62.0,,6068.313416184007,26.0
63.0,13.0,5661.009894728738,22.0
,19.0,5399.1341508871965,
32.0,14.0,4531.830826492756,20.0
31.0,14.0,5080.197952616942,23.0
50.0,15.0,,24.0
65.0,16.0,6990.757896420791,31.0
,17.0,,31.0
69.0,17.0,,4.0
54.0,11.0,4562.556618088819,35.0
42.0,18.0,,38.0
36.0,16.0,,15.0
45.0,13.0,5455.280807613472,32.0
27.0,,4090.0333827537297,20.0
48.0,17.0,5153.964964525677,
45.0,13.0,5340.882341599881,5.0
,15.0,3595.3451773960946,34.0
45.0,14.0,,38.0
53.0,12.0,5398.2216870913135,21.0
60.0,,,4.0
,11.0,4338.476995112773,22.0
23.0,18.0,,16.0
69.0,,,11.0
64.0,18.0,5815.344987754032,22.0
30.0,10.0,4369.335470274266,15.0
48.0,19.0,5235.280431453938,2.0
55.0,,5492.923741739628,29.0
44.0,17.0,5336.257912910455,
40.0,15.0,,
55.0,14.0,,28.0
29.0,14.0,5296.775395357678,36.0
,,,22.0
28.0,16.0,4255.317787441086,12.0
,,,31.0
54.0,,6209.692988480105,22.0
,12.0,6237.8531415913785,16.0
54.0,13.0,,39.0
,19.0,,20.0
55.0,10.0,,1.0
37.0,19.0,4685.668992418852,36.0
,12.0,5411.999776139583,5.0
58.0,,,17.0
51.0,,5555.964118700079,29.0
43.0,10.0,,21.0
42.0,,4773.745429789638,32.0
51.0,12.0,5434.533775062335,29.0
56.0,,6142.421368665788,16.0
31.0,15.0,,
,,6094.365300402591,13.0
32.0,,4016.13665619487,
42.0,18.0,,35.0
44.0,,,
,14.0,4910.29250525347,8.0
60.0,,5928.907250505888,27.0
49.0,18.0,6153.629487532473,10.0
36.0,17.0,4999.347591811119,13.0
68.0,,6155.380383500453,38.0
39.0,18.0,,18.0
67.0,12.0,,14.0
44.0,18.0,5380.257607472248,
41.0,11.0,4313.506806129122,23.0
32.0,19.0,5194.945526937496,
38.0,18.0,4099.798219121065,8.0
,,6289.756922916295,32.0
,,5617.692648313935,32.0
31.0,14.0,5359.190664423918,18.0
60.0,11.0,5869.476904059924,2.0
38.0,17.0,,9.0
31.0,15.0,3868.460827551153,39.0
,17.0,4079.801160470697,0.0
26.0,,3891.352269559679,28.0
47.0,,4967.3888169976535,33.0
33.0,,4653.1422624459365,12.0
50.0,15.0,4282.9118070787035,0.0
,14.0,,33.0
66.0,,,28.0
,10.0,4810.627341551965,12.0
24.0,11.0,4083.283600678052,28.0
54.0,17.0,,38.0
31.0,12.0,4345.4416931723745,23.0
44.0,19.0,5190.747698385168,25.0
40.0,12.0,5217.071110131108,16.0
55.0,17.0,,6.0
42.0,17.0,4755.520794270752,12.0
35.0,11.0,5207.547369791475,4.0
58.0,17.0,5978.55434725166,25.0
,,6816.106978169884,2.0
61.0,,6766.436215633541,6.0
,17.0,5178.636639313377,38.0
33.0,12.0,4220.486230565645,
50.0,,,
24.0,10.0,3367.5537899355263,
54.0,18.0,,
42.0,18.0,4928.058902593669,14.0
48.0,14.0,5687.516517554509,28.0
62.0,19.0,6041.804668569612,31.0
30.0,13.0,3803.8052361081564,25.0
37.0,15.0,5377.772301065987,15.0
66.0,16.0,,24.0
,14.0,,27.0
28.0,19.0,,8.0
29.0,18.0,3125.4502283664706,0.0
63.0,,,28.0
36.0,16.0,5255.882661421001,21.0
57.0,,,
,19.0,3267.5572689765568,6.0
,,5275.384358417367,13.0
32.0,16.0,4922.584562686409,
59.0,,6322.495709807041,18.0
61.0,,5588.333027815606,
28.0,,4649.630015691399,1.0
69.0,16.0,6529.438560495576,14.0
46.0,,,2.0
,10.0,4535.09841334265,10.0
24.0,18.0,3597.5321993859807,29.0
48.0,10.0,5973.769606796947,39.0
56.0,,5435.739222992824,17.0
57.0,,6740.768340983523,1.0
38.0,17.0,4397.346988259267,
27.0,12.0,4174.213960699936,7.0
67.0,15.0,,21.0
,12.0,6226.159273911242,5.0
20.0,16.0,4245.414250309048,11.0
41.0,,4407.158790876661,39.0
36.0,18.0,,35.0
,11.0,4369.06585320136,14.0
44.0,14.0,,27.0
,,6402.029308729709,17.0
23.0,13.0,3476.8150432561097,1.0
55.0,13.0,,12.0
25.0,13.0,3873.407937798167,14.0
50.0,11.0,5338.284535225491,19.0
38.0,,5623.517729960602,28.0
63.0,,6883.2278630787005,
58.0,15.0,,2.0
46.0,10.0,5068.871359959574,18.0
29.0,19.0,4903.809138400104,2.0
45.0,,5306.181063462902,13.0
38.0,10.0,4922.794851751504,39.0
,15.0,,3.0
22.0,19.0,4979.2089286895625,10.0
64.0,,6882.919302778232,30.0
32.0,11.0,4972.4482092235485,31.0
69.0,11.0,6364.8495172446865,26.0
47.0,13.0,5369.780379127281,29.0
39.0,12.0,5215.283302268867,1.0
,13.0,,8.0
27.0,,4819.157857982252,27.0
60.0,,5539.377444278547,30.0
58.0,15.0,,33.0
20.0,12.0,2855.142225103685,
22.0,,3824.690736698935,24.0
32.0,16.0,,35.0
47.0,,5868.0957471959555,7.0
,11.0,,8.0
44.0,11.0,,36.0
52.0,13.0,,38.0
57.0,,6490.996126547152,31.0
25.0,12.0,4566.547467352689,16.0
63.0,18.0,,34.0
64.0,16.0,7015.290985165031,36.0
51.0,16.0,5029.772517193036,18.0
,,,28.0
66.0,,5422.957218665323,6.0
40.0,13.0,4452.446974032199,27.0
35.0,15.0,5287.092696089486,8.0
40.0,12.0,4541.325366903939,27.0
30.0,10.0,4867.762127062549,5.0
56.0,17.0,6629.24252098404,28.0
55.0,14.0,,16.0
,,5959.931719899906,15.0
38.0,13.0,5271.65606477146,22.0
39.0,15.0,4339.252468466717,
37.0,12.0,4541.773827349476,2.0
66.0,,,20.0
60.0,,5731.638444958486,25.0
68.0,,,35.0
33.0,,4352.401634528855,36.0
34.0,19.0,4682.423386534091,21.0
50.0,15.0,4978.769191534382,11.0
20.0,11.0,,12.0
22.0,12.0,3827.4450048883314,10.0
35.0,10.0,,15.0
42.0,18.0,5130.46454692468,7.0
30.0,17.0,3796.5002110184605,39.0
31.0,11.0,4464.486626727188,
,,3918.6115862669176,1.0
51.0,18.0,,29.0
35.0,10.0,4619.318608836566,29.0
27.0,14.0,,11.0
,17.0,5665.323444976719,9.0
,11.0,4272.328848068338,10.0
43.0,,4663.188995192187,14.0
47.0,16.0,,15.0
27.0,12.0,4263.423449100151,16.0
47.0,14.0,,25.0
55.0,,5650.89305077892,1.0
45.0,19.0,4910.569103257113,11.0
27.0,12.0,4194.324286611987,25.0
69.0,,6552.814907346744,22.0
47.0,18.0,4832.931500471617,17.0
,16.0,4905.324003460396,31.0
,10.0,6489.1420468113365,37.0
60.0,13.0,5818.621733600222,
55.0,,5474.219595537995,37.0
46.0,18.0,4628.064197220362,2.0
36.0,15.0,,29.0
28.0,18.0,3872.0370932445785,0.0
52.0,,5592.353669519271,29.0
39.0,15.0,4095.9074653417047,31.0
32.0,,5009.086400182058,27.0
47.0,14.0,,20.0
67.0,11.0,6592.260172739007,12.0
48.0,17.0,4632.759934297352,26.0
32.0,17.0,5019.381071954615,
65.0,10.0,5836.325500179823,6.0
54.0,,5114.514060639194,
25.0,14.0,4058.269477121173,9.0
37.0,11.0,4648.3161633267555,38.0
24.0,11.0,3947.4756744098554,
,,,14.0
44.0,18.0,6205.9129982213135,3.0
21.0,10.0,3365.4317313252677,31.0
,15.0,4105.583802837705,22.0
,18.0,5521.374168022478,5.0
,,6255.641754531386,23.0
64.0,15.0,6399.699374639258,
24.0,12.0,4657.992677972898,36.0
52.0,17.0,5974.68297113502,19.0
20.0,18.0,4304.866783924916,11.0
37.0,,,32.0
51.0,18.0,4755.526358541945,27.0
66.0,,7040.054395977308,7.0
68.0,15.0,,0.0
,13.0,,36.0
40.0,10.0,4485.166885860278,21.0
45.0,19.0,,5.0
44.0,17.0,5531.058645741014,20.0
41.0,,4085.6349886250773,31.0
46.0,,,34.0
68.0,,7029.981751170794,14.0
32.0,10.0,,4.0
,10.0,5670.880517789278,5.0
53.0,18.0,5233.181927545774,24.0
60.0,10.0,6337.224701201834,39.0
54.0,,,28.0
20.0,,3539.2473019880886,6.0
40.0,15.0,4804.260024955904,39.0
67.0,16.0,,12.0
25.0,11.0,4053.5989017404063,37.0
47.0,15.0,,17.0
36.0,16.0,5149.510154291947,1.0
24.0,19.0,4078.2447720490527,7.0
50.0,19.0,5507.682387946655,10.0
24.0,,3910.8667063012867,32.0
57.0,,6087.635736985995,37.0
22.0,19.0,,26.0
,,,19.0
56.0,,6040.2993564694925,11.0
,17.0,5698.657799081445,30.0
29.0,12.0,4080.14159124872,26.0
29.0,15.0,,31.0
38.0,18.0,4758.711950606771,9.0
36.0,,,2.0
40.0,18.0,4914.014196853663,26.0
33.0,16.0,4449.196144671435,34.0
28.0,18.0,,30.0
65.0,,,14.0
20.0,17.0,3476.088972936154,15.0
64.0,,5792.747894619195,12.0
32.0,11.0,,34.0
23.0,13.0,3962.597807752464,10.0
20.0,16.0,3774.6893579625525,20.0
68.0,,6917.431928386717,10.0
59.0,13.0,5239.902191359124,29.0
51.0,15.0,,34.0
53.0,,,21.0
47.0,,5582.401065415988,37.0
,19.0,,30.0
27.0,12.0,4036.008706758681,13.0
58.0,,6425.591890074953,23.0
45.0,19.0,4974.931144260965,
53.0,,,35.0
22.0,15.0,4718.862242764568,31.0
69.0,,7139.450849923234,14.0
,,,
20.0,12.0,4231.567637120505,2.0
63.0,,5970.2556048981905,15.0
24.0,12.0,5451.898113634387,
49.0,,5840.0630029369095,
49.0,13.0,,9.0
36.0,17.0,4956.281086728872,18.0
,,6553.552707723034,24.0
66.0,14.0,6518.371770391741,
,16.0,4980.000891176722,28.0
34.0,12.0,4502.836350382413,18.0
56.0,11.0,5724.0733191367535,1.0
40.0,15.0,4430.154147476396,9.0
33.0,,,24.0
21.0,12.0,3649.1474786755134,19.0
30.0,15.0,3970.0249605076415,18.0
,14.0,5892.822766717925,22.0
57.0,,5784.938685155057,23.0
,18.0,5774.817237894495,10.0
57.0,12.0,5565.897315301795,33.0
69.0,,,27.0
53.0,,,4.0
37.0,12.0,5165.608600247597,4.0
49.0,,5744.762523088339,20.0
34.0,10.0,4716.983806175741,11.0
46.0,16.0,5384.461311666138,
53.0,10.0,,19.0
